LAT|LON|ROW|COL|ID|DATE|DPY|FUEL_SOLD_REG_MONTH|FUEL SOLD GAL/YEAR|GROWRATE|YEARNUMBER|STORAGE_VOC_(LB/YR)|STORAGE VOC (TON/YR)|STORAGE VOC (TON/DAY)
4.59652222222|-74.1821194444|20.0|24.0|35.0|38888.0|365.0|327997.0|3935964.0|0.005|6.0|6098.60293144|2.76876573087|0.00758565953664
4.58138818611|-74.1521673306|23.0|22.0|36.0|40849.0|365.0|90000.0|1080000.0|0.005|1.0|2811.51971425|1.27530276117|0.0034939801676
4.5727027227|-74.1679213898|21.0|21.0|37.0|41409.0|365.0|31800.0|381600.0|0.005|-1.0|993.403625781|0.450606972626|0.00123453965103
4.56679112972|-74.1441108202|24.0|20.0|38.0|40842.0|365.0|120000.0|1440000.0|0.005|1.0|2771.60008518|1.25719525407|0.00344437055911
4.61154444444|-74.1407138889|24.0|25.0|39.0|41422.0|365.0|57000.0|684000.0|0.005|-1.0|2604.07540936|1.18225023585|0.00323904174205
4.59257521636|-74.1798123797|20.0|23.0|40.0|41512.0|312.0|5500.0|66000.0|0.005|-1.0|1.21340198571|0.000550884501514|1.76565545357e-06
4.63753643414|-74.0631023778|33.0|28.0|41.0|40842.0|365.0|110000.0|1320000.0|0.005|1.0|4397.30660199|1.99461423756|0.00546469654126
4.63260277778|-74.063325|33.0|28.0|42.0|41271.0|365.0|70000.0|840000.0|0.005|0.0|4096.16264547|1.85801561536|0.00509045374072
4.658925|-74.0587583333|34.0|30.0|43.0|40616.0|365.0|73600.0|883200.0|0.005|1.0|4306.73597337|1.95353148357|0.00535214105089
4.651522782|-74.0573462772|34.0|30.0|44.0|40683.0|365.0|160000.0|1920000.0|0.005|1.0|6624.43128027|3.00749180124|0.00823970356505
4.64831559918|-74.0601640314|33.0|29.0|45.0|40751.0|365.0|136088.333333|1633060.0|0.005|1.0|5948.65295597|2.69830351946|0.00739261238208
4.6631366706|-74.0608256413|33.0|31.0|46.0|41487.0|365.0|136088.333333|1633060.0|0.005|-1.0|7781.22660964|3.52955724631|0.0096700198529
4.65275846045|-74.0565420627|34.0|30.0|47.0|39736.0|365.0|52800.0|633600.0|0.005|4.0|2292.95359983|1.04100093432|0.00285205735431
4.68258853806|-74.0442709676|35.0|33.0|48.0|40660.0|365.0|98000.0|1176000.0|0.005|1.0|5145.46039527|2.44083258584|0.00668721256394
4.7091622423|-74.1391137311|25.0|36.0|49.0|41020.0|365.0|29000.0|348000.0|0.005|0.0|1272.58544642|0.577753792673|0.00158288710321
4.70996838658|-74.1391948106|25.0|36.0|50.0|41112.0|365.0|100000.0|1200000.0|0.005|0.0|2300.74229211|1.04453700062|0.00286174520717
4.7168778856|-74.1186191756|27.0|37.0|51.0|40903.0|365.0|208000.0|2496000.0|0.005|1.0|6162.04851929|1.7452179718|0.00478141910082
4.69627446145|-74.0946864559|30.0|35.0|52.0|40677.0|365.0|148050.0|1776600.0|0.005|1.0|6481.13444728|1.96257070148|0.00537690603145
4.6863|-74.0823666667|31.0|33.0|53.0|41010.0|365.0|43000.0|516000.0|0.005|0.0|2546.65466894|1.1561812197|0.00316761977999
4.70744166667|-74.1103555556|28.0|36.0|54.0|41196.0|365.0|119900.0|1438800.0|0.005|0.0|7429.28567943|3.37289569846|0.00924081013277
4.71386388889|-74.0974805556|29.0|37.0|55.0|41010.0|365.0|100000.0|1200000.0|0.005|0.0|3734.238466|1.69384713983|0.00464067709542
